full_name,age,gender,birthdate,contact_info,last_seen_location,additional_details,,final_image
Yachana Sagar,35,Female,17-05-1990,9.18E+11,bus stop,Has a scarred tattoo,,37423.png
Neelima Butala,9,Female,20-11-2016,9.17E+11,school,Wearing black clothes,,39654.png
Arunima Chacko,65,Female,22-07-1960,9.16E+11,school,Carrying a umbrella,,39509.png
Farhan Vaidya,78,Male,28-01-1947,9.19E+11,bus stop,Wearing white clothes,,46508.png
Nachiket Yadav,22,Female,30-05-2003,9.18E+11,school,Wearing black clothes,,44985.png
Mahika Bhatti,67,Male,04-05-1958,9.17E+11,market,Has a unique tattoo,,04530.png
Rajeshri Khare,71,Female,10-08-1954,9.17E+11,park,Wearing red clothes,,02252.png
Yash Chadha,24,Female,15-03-2001,9.18E+11,market,Has a scarred tattoo,,13779.png
Jack Setty,52,Male,09-02-1973,9.19E+11,park,Wearing green clothes,,02554.png
Dayamai Gill,21,Female,26-01-2004,9.17E+11,market,Has a small tattoo,,47630.png
Advik Devan,52,Male,08-12-1973,9.19E+11,market,Has a small tattoo,,16686.png
Nihal Taneja,42,Male,02-01-1983,9.18E+11,school,Carrying a wallet,,00934.png
Zansi Lad,56,Male,02-06-1969,9.17E+11,station,Medical condition: diabetic,,51768.png
Kamya Date,56,Male,11-02-1969,9.16E+11,market,Wearing red clothes,,48500.png
Jacob Balan,34,Male,03-03-1991,9.17E+11,bus stop,Carrying a phone,,41032.png
Pushti Magar,20,Male,24-04-2005,9.18E+11,school,Carrying a phone,,48799.png
Adya Bose,37,Female,18-10-1988,9.19E+11,market,Wearing black clothes,,53865.png
Tamanna Vaidya,45,Female,17-07-1980,9.19E+11,station,Medical condition: diabetic,,11511.png
Christopher Tata,6,Female,14-03-2019,9.20E+11,market,Wearing green clothes,,02013.png
Jhalak Dugar,11,Male,06-11-2014,9.19E+11,park,Has a unique tattoo,,38707.png
Harshil D’Alia,52,Female,20-10-1973,9.18E+11,bus stop,Wearing white clothes,,36416.png
Yashodhara Agate,44,Female,28-01-1981,9.18E+11,market,Medical condition: diabetic,,48188.png
Advik Konda,33,Male,28-08-1992,9.18E+11,station,Wearing white clothes,,46013.png
Urmi Patla,56,Male,24-01-1969,9.17E+11,bus stop,Wearing black clothes,,12807.png
Mason Gola,12,Female,26-10-2013,9.19E+11,park,Has a unique tattoo,,19749.png
Oni Kapur,71,Female,07-08-1954,9.19E+11,park,Has a scarred tattoo,,03228.png
Yuvraj Saha,29,Male,09-02-1996,9.19E+11,station,Has a scarred tattoo,,22207.png
Anika Brahmbhatt,47,Female,11-07-1978,9.16E+11,station,Wearing red clothes,,22499.png
Jagdish Thakkar,63,Female,26-05-1962,9.19E+11,market,Wearing green clothes,,39250.png
Praneel Kapoor,50,Male,09-06-1975,9.18E+11,station,Has a large tattoo,,45702.png
Nandini Biswas,78,Female,30-05-1947,9.18E+11,bus stop,Has a unique tattoo,,18344.png
Barkha Mukhopadhyay,40,Male,27-10-1985,9.20E+11,station,Has a small tattoo,,31044.png
Gabriel Shan,38,Male,24-02-1987,9.17E+11,park,Medical condition: asthmatic,,16381.png
Jyoti Iyer,54,Male,22-06-1971,9.17E+11,school,Has a unique tattoo,,24846.png
Daksha Kibe,54,Female,11-04-1971,9.18E+11,market,Wearing red clothes,,37435.png
Jyoti Tak,32,Female,11-03-1993,9.20E+11,market,Wearing blue clothes,,04320.png
Yatan Dora,15,Female,31-05-2010,9.18E+11,station,Has a unique tattoo,,24853.png
Nimrat Bajwa,56,Female,07-01-1969,9.16E+11,station,Carrying a phone,,43638.png
Hiral Andra,33,Female,06-08-1992,9.17E+11,school,Medical condition: diabetic,,37784.png
Aarav Puri,31,Female,14-03-1994,9.17E+11,school,Has a small tattoo,,08888.png
Hemang Jha,36,Male,04-12-1989,9.18E+11,school,Medical condition: diabetic,,34285.png
Oni Swamy,79,Female,21-10-1946,9.16E+11,park,Medical condition: allergic,,45808.png
Lucky Mammen,46,Male,20-07-1979,9.16E+11,bus stop,Carrying a umbrella,,19024.png
Caleb Kata,34,Male,24-10-1991,9.16E+11,station,Wearing blue clothes,,33983.png
Kashish Shanker,53,Male,26-09-1972,9.17E+11,market,Wearing green clothes,,21151.png
Girish Tiwari,23,Male,06-09-2002,9.18E+11,park,Wearing red clothes,,25949.png
Meera Borde,79,Female,13-01-1946,9.19E+11,market,Has a unique tattoo,,53067.png
Radhika De,27,Male,09-12-1998,9.18E+11,bus stop,Wearing white clothes,,30851.png
Bishakha Lal,61,Male,14-06-1964,9.17E+11,bus stop,Carrying a umbrella,,20518.png
Maya Narain,16,Female,16-07-2009,9.17E+11,station,Wearing white clothes,,00950.png
Sneha Magar,58,Male,24-06-1967,9.19E+11,market,Medical condition: none,,40170.png
Falan Jain,57,Male,28-08-1968,9.20E+11,bus stop,Wearing blue clothes,,44989.png
Ikbal Dugal,47,Male,17-07-1978,9.18E+11,market,Has a scarred tattoo,,25263.png
Nitesh Sengupta,41,Female,01-05-1984,9.16E+11,market,Medical condition: asthmatic,,17735.png
Dipta Ray,49,Male,16-04-1976,9.16E+11,bus stop,Has a unique tattoo,,00542.png
Ishita Johal,11,Female,27-06-2014,9.18E+11,market,Medical condition: allergic,,48679.png
Darika Sheth,69,Male,08-07-1956,9.16E+11,market,Medical condition: none,,21663.png
Jagdish Chana,73,Female,30-05-1952,9.19E+11,market,Has a small tattoo,,37165.png
Daksha Baria,7,Male,07-03-2018,9.19E+11,school,Medical condition: diabetic,,26387.png
Falak Divan,73,Female,15-08-1952,9.19E+11,school,Carrying a phone,,05187.png
Yuvraj Parekh,14,Male,03-07-2011,9.16E+11,bus stop,Medical condition: allergic,,19068.png
Yochana Bawa,57,Male,26-12-1968,9.17E+11,park,Carrying a phone,,52617.png
Abha Ghosh,60,Female,20-04-1965,9.16E+11,station,Has a small tattoo,,42482.png
Nidhi Sethi,77,Male,26-12-1948,9.20E+11,market,Carrying a bag,,49150.png
Girindra Shere,50,Male,08-05-1975,9.18E+11,park,Wearing blue clothes,,33732.png
Logan Dara,9,Female,07-10-2016,9.17E+11,bus stop,Has a small tattoo,,15842.png
David Kapadia,6,Male,04-12-2019,9.16E+11,market,Wearing blue clothes,,27179.png
Rudra Rattan,29,Female,23-02-1996,9.20E+11,bus stop,Medical condition: none,,06336.png
Frado Lad,69,Female,11-04-1956,9.17E+11,bus stop,Carrying a umbrella,,34794.png
Anthony Bhattacharyya,28,Female,15-03-1997,9.19E+11,park,Has a scarred tattoo,,23217.png
Sachi Dave,65,Female,19-11-1960,9.20E+11,station,Carrying a bag,,22027.png
Garima Das,20,Female,31-01-2005,9.17E+11,bus stop,Wearing black clothes,,29334.png
Triya Bedi,58,Male,14-07-1967,9.19E+11,market,Carrying a phone,,25283.png
Rachita Rana,11,Male,19-04-2014,9.16E+11,school,Has a unique tattoo,,49479.png
Ayushman Raja,71,Female,04-10-1954,9.17E+11,station,Has a scarred tattoo,,53082.png
Orinder Pandya,35,Male,15-10-1990,9.20E+11,school,Wearing black clothes,,19429.png
Rachit Maharaj,30,Male,16-10-1995,9.17E+11,park,Medical condition: none,,30303.png
Sanaya Dixit,23,Female,07-07-2002,9.19E+11,bus stop,Medical condition: asthmatic,,05358.png
Yatan Merchant,60,Male,06-03-1965,9.18E+11,market,Carrying a umbrella,,41050.png
Nisha Srinivas,35,Male,27-09-1990,9.16E+11,park,Has a small tattoo,,26395.png
Gagan Mammen,36,Male,28-05-1989,9.19E+11,market,Carrying a bag,,16222.png
Laksh Saini,20,Male,30-07-2005,9.17E+11,bus stop,Medical condition: asthmatic,,16155.png
Zaid Bahl,56,Male,24-08-1969,9.16E+11,park,Carrying a bag,,05301.png
Jagrati Srinivasan,68,Female,01-04-1957,9.18E+11,station,Carrying a phone,,07661.png
Hemangini Thakkar,53,Male,24-02-1972,9.18E+11,market,Medical condition: diabetic,,51637.png
Lipika Madan,22,Male,02-06-2003,9.19E+11,station,Medical condition: diabetic,,42648.png
Atharv Nagar,55,Female,30-06-1970,9.19E+11,station,Has a unique tattoo,,01320.png
Ayushman Mand,49,Male,16-01-1976,9.18E+11,park,Has a scarred tattoo,,50139.png
Urmi Wagle,57,Female,03-12-1968,9.18E+11,school,Wearing black clothes,,41165.png
Viraj Dutta,22,Female,08-06-2003,9.20E+11,bus stop,Medical condition: none,,45653.png
Yug Khosla,55,Female,22-11-1970,9.17E+11,bus stop,Has a unique tattoo,,27890.png
Daksh Kanda,56,Female,12-04-1969,9.20E+11,park,Has a scarred tattoo,,29791.png
Isha Ghose,48,Female,30-12-1977,9.16E+11,park,Wearing blue clothes,,47715.png
